Generation #0
Puntaje: 9 [48, 4, 9, 12, 1, 7]
Puntaje: 7 [19, 4, 9, 15, 1, 8]
Puntaje: 4 [99, 4, 0, 6, 1, 7]
Puntaje: 4 [19, 3, 9, 17, 1, 8]
Puntaje: 3 [76, 2, 3, 17, 0, 7]
Puntaje: 0 [46, 1, 9, 6, 1, 7]
Puntaje: 0 [46, 4, 20, 6, 1, 7]
Generation #15
Puntaje: 27 [19, 3, 9, 15, 1, 7]
Puntaje: 22 [19, 3, 9, 15, 1, 7]
Puntaje: 21 [19, 3, 9, 15, 1, 7]
Puntaje: 19 [49, 3, 10, 6, 1, 7]
Puntaje: 9 [48, 2, 9, 6, 1, 3]
Puntaje: 9 [76, 2, 9, 17, 1, 7]
Puntaje: 9 [19, 2, 9, 17, 1, 7]
Puntaje: 9 [48, 3, 9, 6, 1, 7]
Puntaje: 8 [19, 2, 9, 17, 1, 8]
Puntaje: 7 [49, 3, 9, 19, 1, 7]
Puntaje: 7 [76, 4, 9, 13, 1, 7]
Puntaje: 7 [99, 3, 9, 6, 1, 7]
Puntaje: 7 [99, 3, 9, 6, 1, 7]
Puntaje: 6 [73, 4, 9, 6, 1, 7]
Puntaje: 5 [76, 3, 9, 6, 7, 7]
Puntaje: 2 [49, 4, 6, 6, 1, 7]
Generation #16
Puntaje: 24 [76, 2, 17, 17, 1, 7]
Puntaje: 19 [19, 3, 9, 15, 1, 7]
Puntaje: 18 [19, 3, 9, 15, 1, 7]
Puntaje: 16 [49, 3, 11, 13, 1, 7]
Puntaje: 12 [19, 3, 9, 17, 1, 7]
Puntaje: 12 [49, 3, 10, 6, 1, 7]
Puntaje: 10 [19, 3, 9, 15, 1, 7]
Puntaje: 9 [49, 3, 10, 20, 1, 7]
Puntaje: 9 [48, 2, 9, 6, 1, 3]
Puntaje: 9 [38, 3, 9, 16, 1, 7]
Puntaje: 9 [19, 2, 9, 17, 1, 7]
Puntaje: 9 [76, 3, 9, 17, 1, 7]
Puntaje: 9 [19, 3, 9, 15, 1, 7]
Puntaje: 7 [19, 3, 9, 15, 8, 7]
Puntaje: 5 [12, 3, 8, 15, 7, 10]
Puntaje: 0 [48, 2, 9, 15, 1, 3]
Generation #17
Puntaje: 21 [19, 3, 9, 15, 1, 7]
Puntaje: 21 [19, 3, 17, 17, 1, 7]
Puntaje: 19 [44, 3, 9, 15, 1, 7]
Puntaje: 19 [19, 3, 9, 15, 1, 7]
Puntaje: 12 [19, 3, 9, 6, 1, 5]
Puntaje: 12 [49, 3, 10, 9, 1, 7]
Puntaje: 12 [19, 3, 9, 15, 1, 7]
Puntaje: 10 [19, 3, 9, 15, 1, 7]
Puntaje: 9 [49, 3, 11, 18, 1, 7]
Puntaje: 9 [76, 2, 17, 17, 1, 7]
Puntaje: 9 [76, 3, 17, 17, 1, 7]
Puntaje: 8 [19, 3, 4, 15, 7, 7]
Puntaje: 7 [76, 3, 10, 6, 1, 7]
Puntaje: 5 [19, 3, 9, 15, 3, 7]
Puntaje: 3 [49, 3, 11, 6, 1, 4]
Puntaje: 0 [19, 3, 9, 15, 1, 4]
Generation #18
Puntaje: 22 [19, 3, 9, 15, 1, 7]
Puntaje: 22 [44, 3, 20, 15, 1, 7]
Puntaje: 19 [58, 3, 9, 15, 1, 7]
Puntaje: 18 [19, 3, 17, 17, 1, 7]
Puntaje: 10 [19, 3, 9, 15, 1, 7]
Puntaje: 10 [19, 3, 9, 15, 1, 7]
Puntaje: 10 [19, 3, 9, 15, 1, 7]
Puntaje: 9 [19, 3, 3, 15, 1, 7]
Puntaje: 9 [19, 3, 17, 17, 1, 7]
Puntaje: 9 [19, 3, 9, 15, 1, 7]
Puntaje: 9 [19, 3, 9, 15, 1, 7]
Puntaje: 7 [19, 3, 9, 6, 1, 7]
Puntaje: 6 [19, 3, 10, 17, 1, 7]
Puntaje: 5 [19, 3, 9, 15, 1, 10]
Puntaje: 4 [19, 3, 17, 17, 1, 7]
Puntaje: 3 [49, 4, 10, 15, 7, 7]
Generation #19
Puntaje: 22 [19, 2, 9, 15, 1, 7]
Puntaje: 21 [44, 3, 9, 15, 1, 7]
Puntaje: 18 [19, 3, 9, 9, 1, 7]
Puntaje: 18 [19, 2, 9, 17, 1, 7]
Puntaje: 9 [58, 3, 20, 15, 1, 7]
Puntaje: 9 [19, 3, 9, 17, 1, 7]
Puntaje: 9 [58, 3, 20, 15, 1, 7]
Puntaje: 9 [44, 3, 20, 15, 1, 7]
Puntaje: 9 [19, 3, 9, 15, 1, 7]
Puntaje: 9 [19, 3, 9, 15, 1, 7]
Puntaje: 9 [19, 3, 9, 15, 1, 7]
Puntaje: 9 [19, 3, 9, 15, 1, 7]
Puntaje: 9 [19, 2, 17, 17, 2, 7]
Puntaje: 7 [19, 3, 9, 15, 9, 7]
Puntaje: 6 [19, 3, 17, 17, 1, 7]
Puntaje: 6 [16, 3, 20, 15, 1, 7]
Generation #20
Puntaje: 22 [44, 3, 9, 15, 1, 7]
Puntaje: 19 [58, 3, 20, 15, 1, 7]
Puntaje: 18 [19, 2, 9, 17, 1, 7]
Puntaje: 18 [19, 3, 9, 17, 1, 7]
Puntaje: 12 [58, 4, 20, 15, 1, 7]
Puntaje: 10 [19, 2, 19, 15, 1, 7]
Puntaje: 10 [3, 3, 20, 15, 8, 7]
Puntaje: 9 [19, 2, 9, 15, 1, 7]
Puntaje: 9 [19, 4, 9, 15, 1, 7]
Puntaje: 9 [19, 3, 9, 18, 1, 7]
Puntaje: 9 [58, 3, 20, 15, 1, 7]
Puntaje: 9 [19, 3, 9, 17, 1, 7]
Puntaje: 9 [19, 4, 9, 15, 1, 7]
Puntaje: 9 [19, 3, 15, 9, 1, 7]
Puntaje: 5 [19, 3, 1, 9, 1, 9]
Puntaje: 0 [19, 2, 9, 17, 1, 4]
Generation #21
Puntaje: 22 [3, 2, 15, 17, 8, 7]
Puntaje: 18 [44, 3, 9, 15, 1, 7]
Puntaje: 16 [58, 2, 20, 15, 1, 7]
Puntaje: 15 [3, 3, 20, 15, 8, 7]
Puntaje: 10 [58, 3, 14, 15, 1, 7]
Puntaje: 9 [19, 2, 19, 15, 1, 7]
Puntaje: 9 [44, 3, 20, 15, 1, 7]
Puntaje: 9 [58, 4, 20, 15, 1, 7]
Puntaje: 9 [58, 4, 20, 15, 1, 7]
Puntaje: 9 [58, 3, 20, 15, 1, 7]
Puntaje: 9 [44, 3, 9, 15, 1, 7]
Puntaje: 9 [19, 3, 9, 17, 1, 7]
Puntaje: 9 [19, 2, 19, 15, 1, 7]
Puntaje: 7 [68, 3, 9, 17, 1, 7]
Puntaje: 7 [19, 3, 9, 17, 1, 7]
Puntaje: 4 [3, 1, 20, 15, 8, 7]
Generation #22
Puntaje: 22 [44, 3, 9, 15, 1, 7]
Puntaje: 19 [44, 1, 20, 15, 1, 7]
Puntaje: 19 [3, 2, 15, 17, 8, 7]
Puntaje: 19 [44, 3, 20, 15, 1, 7]
Puntaje: 12 [58, 3, 14, 15, 1, 7]
Puntaje: 12 [3, 2, 15, 17, 9, 7]
Puntaje: 12 [19, 2, 19, 15, 1, 7]
Puntaje: 10 [3, 3, 19, 8, 7, 7]
Puntaje: 10 [19, 3, 20, 15, 8, 7]
Puntaje: 9 [44, 3, 20, 15, 8, 7]
Puntaje: 8 [44, 3, 9, 15, 1, 7]
Puntaje: 7 [3, 2, 20, 15, 1, 7]
Puntaje: 6 [58, 3, 14, 15, 1, 6]
Puntaje: 3 [58, 2, 15, 17, 1, 7]
Puntaje: 3 [3, 2, 15, 17, 1, 7]
Puntaje: 0 [44, 3, 3, 15, 1, 0]
Generation #23
Puntaje: 27 [44, 3, 9, 15, 1, 7]
Puntaje: 25 [44, 3, 9, 15, 1, 7]
Puntaje: 21 [3, 2, 20, 17, 5, 7]
Puntaje: 15 [19, 3, 9, 15, 1, 7]
Puntaje: 12 [44, 1, 20, 15, 1, 7]
Puntaje: 12 [44, 1, 20, 15, 1, 7]
Puntaje: 12 [19, 2, 19, 15, 1, 7]
Puntaje: 9 [37, 2, 20, 15, 1, 7]
Puntaje: 9 [58, 3, 14, 15, 1, 7]
Puntaje: 9 [44, 3, 15, 15, 1, 7]
Puntaje: 7 [14, 2, 20, 17, 10, 7]
Puntaje: 6 [44, 3, 20, 2, 8, 7]
Puntaje: 6 [3, 2, 18, 17, 8, 7]
Puntaje: 3 [44, 3, 20, 9, 1, 0]
Puntaje: 3 [58, 1, 20, 15, 9, 7]
Puntaje: 3 [58, 2, 14, 2, 1, 10]
Generation #24
Puntaje: 27 [44, 3, 9, 15, 1, 7]
Puntaje: 24 [44, 3, 9, 15, 1, 7]
Puntaje: 21 [44, 3, 9, 15, 1, 7]
Puntaje: 18 [73, 2, 20, 17, 5, 7]
Puntaje: 12 [44, 3, 9, 15, 1, 7]
Puntaje: 12 [3, 2, 20, 17, 5, 7]
Puntaje: 9 [44, 3, 9, 15, 1, 7]
Puntaje: 9 [19, 2, 19, 14, 1, 7]
Puntaje: 9 [44, 1, 20, 15, 1, 7]
Puntaje: 9 [19, 2, 19, 15, 1, 7]
Puntaje: 9 [44, 3, 9, 15, 1, 7]
Puntaje: 6 [19, 1, 20, 15, 1, 7]
Puntaje: 6 [44, 1, 20, 14, 1, 7]
Puntaje: 6 [44, 1, 20, 15, 1, 7]
Puntaje: 3 [44, 3, 9, 13, 1, 7]
Puntaje: 0 [44, 1, 20, 15, 8, 7]
Generation #25
Puntaje: 24 [3, 2, 5, 17, 5, 7]
Puntaje: 21 [44, 3, 9, 15, 1, 7]
Puntaje: 19 [44, 3, 9, 15, 1, 7]
Puntaje: 16 [44, 3, 9, 15, 1, 7]
Puntaje: 11 [73, 2, 9, 17, 5, 7]
Puntaje: 9 [44, 2, 20, 15, 1, 7]
Puntaje: 9 [3, 2, 20, 17, 5, 7]
Puntaje: 9 [44, 3, 9, 15, 1, 7]
Puntaje: 9 [73, 2, 20, 17, 5, 7]
Puntaje: 9 [44, 3, 9, 15, 1, 7]
Puntaje: 8 [44, 3, 1, 15, 1, 2]
Puntaje: 7 [44, 3, 9, 15, 1, 7]
Puntaje: 7 [44, 3, 9, 15, 1, 7]
Puntaje: 7 [44, 3, 9, 15, 1, 7]
Puntaje: 6 [44, 3, 9, 14, 1, 7]
Puntaje: 0 [44, 3, 9, 2, 1, 0]
